S.N.,Name of Scholarship,Income Limit,Criteria,Course & Year,Scholarship Amount (₹),Remark,Site
1,OBC Scholarship,"Upto 3,00,000 / year","Student should belong to OBC Category. Digital Caste Certificate & M.P Domicile Certificate issued by the Authorized Person. Online Form, हितग्राही प्रोफाइल & NPCI is compulsory.",B. Tech 1st Year,30000,Amount Directly Credit to Student Account,"www.scholarshipportal.mp.nic.in, MPTASS"
2,OBC Scholarship,"Upto 3,00,000 / year","Student should belong to OBC Category. Digital Caste Certificate & M.P Domicile Certificate issued by the Authorized Person. Online Form, हितग्राही प्रोफाइल & NPCI is compulsory.",B. Tech 2nd – 4th Year,30844,Amount Directly Credit to Student Account,"www.scholarshipportal.mp.nic.in, MPTASS"
3,OBC Scholarship,"Upto 3,00,000 / year","Student should belong to OBC Category. Digital Caste Certificate & M.P Domicile Certificate issued by the Authorized Person. Online Form, हितग्राही प्रोफाइल & NPCI is compulsory.",B. Pharmacy 1st Year,28000,Amount Directly Credit to Student Account,"www.scholarshipportal.mp.nic.in, MPTASS"
4,OBC Scholarship,"Upto 3,00,000 / year","Student should belong to OBC Category. Digital Caste Certificate & M.P Domicile Certificate issued by the Authorized Person. Online Form, हितग्राही प्रोफाइल & NPCI is compulsory.",B. Pharmacy 2nd – 4th Year,28690,Amount Directly Credit to Student Account,"www.scholarshipportal.mp.nic.in, MPTASS"
5,OBC Scholarship,"Upto 3,00,000 / year","Student should belong to OBC Category. Digital Caste Certificate & M.P Domicile Certificate issued by the Authorized Person. Online Form, हितग्राही प्रोफाइल & NPCI is compulsory.",D. Pharmacy 1st Year,14326,Amount Directly Credit to Student Account,"www.scholarshipportal.mp.nic.in, MPTASS"
6,OBC Scholarship,"Upto 3,00,000 / year","Student should belong to OBC Category. Digital Caste Certificate & M.P Domicile Certificate issued by the Authorized Person. Online Form, हितग्राही प्रोफाइल & NPCI is compulsory.",D. Pharmacy 2nd Year,15620,Amount Directly Credit to Student Account,"www.scholarshipportal.mp.nic.in, MPTASS"
7,OBC Scholarship,"Upto 3,00,000 / year","Student should belong to OBC Category. Digital Caste Certificate & M.P Domicile Certificate issued by the Authorized Person. Online Form, हितग्राही प्रोफाइल & NPCI is compulsory.",MCA 1st Year,30000,Amount Directly Credit to Student Account,"www.scholarshipportal.mp.nic.in, MPTASS"
8,OBC Scholarship,"Upto 3,00,000 / year","Student should belong to OBC Category. Digital Caste Certificate & M.P Domicile Certificate issued by the Authorized Person. Online Form, हितग्राही प्रोफाइल & NPCI is compulsory.",MCA 2nd Year,32229,Amount Directly Credit to Student Account,"www.scholarshipportal.mp.nic.in, MPTASS"
9,OBC Scholarship,"Upto 3,00,000 / year","Student should belong to OBC Category. Digital Caste Certificate & M.P Domicile Certificate issued by the Authorized Person. Online Form, हितग्राही प्रोफाइल & NPCI is compulsory.",MBA 1st Year,40090,Amount Directly Credit to Student Account,"www.scholarshipportal.mp.nic.in, MPTASS"
10,OBC Scholarship,"Upto 3,00,000 / year","Student should belong to OBC Category. Digital Caste Certificate & M.P Domicile Certificate issued by the Authorized Person. Online Form, हितग्राही प्रोफाइल & NPCI is compulsory.",MBA 2nd Year,41850,Amount Directly Credit to Student Account,"www.scholarshipportal.mp.nic.in, MPTASS"
